depart,destination,durée
GUERLÉDAN,LOCMALO,1799.9
LOCMINÉ,SAINT-GÉRAND-CROIXANVEC,1799.9
PLOGONNEC,LANDUDEC,1799.9
MEILLAC,DOL-DE-BRETAGNE,1799.9
BRÉLIDY,TRÉGROM,1799.9
MOHON,ILLIFAUT,1799.8
SAINT-ERBLON,LA CHAPELLE-THOUARAULT,1799.8
LES IFFS,FEINS,1799.7
LE TRÉHOU,GUICLAN,1799.7
LIZIO,CAMPÉNÉAC,1799.7
VANNES,BILLIERS,1799.7
PLUGUFFAN,PLONÉVEZ-PORZAY,1799.6
PLOUASNE,VILDÉ-GUINGALAN,1799.6
SAINT-MALO-DES-TROIS-FONTAINES,CAMPÉNÉAC,1799.6
LANDÉHEN,SAINT-JULIEN,1799.6
BOURG-DES-COMPTES,LE THEIL-DE-BRETAGNE,1799.6
LA MOTTE,CRÉDIN,1799.6
PLOUGONVEN,HENVIC,1799.6
ERGUÉ-GABÉRIC,DOUARNENEZ,1799.6
LA CHAPELLE-THOUARAULT,SAINT-ERBLON,1799.6
PLOEMEL,SÉNÉ,1799.5
SAINT-GUYOMARD,SAINT-NICOLAS-DU-TERTRE,1799.5
SAINT-GILLES-PLIGEAUX,SAINT-AGATHON,1799.5
PLOMELIN,FOUESNANT,1799.5
LIVRÉ-SUR-CHANGEON,CHAUVIGNÉ,1799.4
GOVEN,LE SEL-DE-BRETAGNE,1799.4
HIREL,LE MINIHIC-SUR-RANCE,1799.4
IRVILLAC,LANNEUFFRET,1799.4
MAEN ROCH,MELLÉ,1799.4
BRIGNAC,COËTLOGON,1799.4
LARRÉ,SURZUR,1799.4
CUGUEN,TRIMER,1799.3
MONTFORT-SUR-MEU,LONGAULNAY,1799.3
MOUSTÉRU,LANRIVAIN,1799.3
LANILDUT,BOURG-BLANC,1799.3
LE TRONCHET,LANGROLAY-SUR-RANCE,1799.3
PLÉDRAN,SAINT-GILDAS,1799.2
MALANSAC,MUZILLAC,1799.2
PLOUHA,LA MÉAUGON,1799.2
BERRIC,PLOEREN,1799.2
SAINT-AUBIN-DU-CORMIER,SAINT-AUBIN-D'AUBIGNÉ,1799.2
LORIENT,RIEC-SUR-BÉLON,1799.1
LANHOUARNEAU,PENCRAN,1799.1
DOURDAIN,CESSON-SÉVIGNÉ,1799.1
LOUDÉAC,KERFOURN,1799.1
LA TRINITÉ-SURZUR,TRÉDION,1799
GUIDEL,SAINT-THURIEN,1799
GOMENÉ,SAINT-MALO-DES-TROIS-FONTAINES,1799
PENVÉNAN,PLEUBIAN,1799
GÉVEZÉ,FEINS,1799
AUBIGNÉ,CUGUEN,1799
SAINT-CHRISTOPHE-DE-VALAINS,DINGÉ,1799
BRÉCÉ,CHAMPEAUX,1798.9
LAMPAUL-GUIMILIAU,BRASPARTS,1798.8
CALORGUEN,LES IFFS,1798.8
LANRODEC,PLAINE-HAUTE,1798.8
BON REPOS SUR BLAVET,KERGRIST-MOËLOU,1798.8
PONTIVY,LA MOTTE,1798.8
QUINTIN,PORDIC,1798.8
ARRADON,AMBON,1798.7
KERMARIA-SULARD,PLEUBIAN,1798.7
PENGUILY,MÉRILLAC,1798.7
MONTERFIL,CONCORET,1798.7
PLOUGUERNÉVEL,PLÉVIN,1798.6
KERPERT,SAINT-MAYEUX,1798.6
EPINIAC,SAINT-PÈRE-MARC-EN-POULET,1798.6
MÉNÉAC,LOUDÉAC,1798.6
SAINT-MAUDAN,ÉVELLYS,1798.6
LA SELLE-EN-LUITRÉ,SAINT-CHRISTOPHE-DE-VALAINS,1798.6
SAINT-MÉLOIR-DES-BOIS,PLUMAUDAN,1798.6
MÉRILLAC,PENGUILY,1798.5
TOURCH,LANDRÉVARZEC,1798.5
SAINT-PÈRE-MARC-EN-POULET,EPINIAC,1798.5
MALANSAC,ARZAL,1798.5
SAINT-MAUDAN,LAURENAN,1798.5
PLOURIN,LE CONQUET,1798.5
LA CHAPELLE-BLANCHE,SAINT-JUDOCE,1798.5
GAHARD,DINGÉ,1798.5
SAINT-JUDOCE,LA CHAPELLE-BLANCHE,1798.4
LANGOËLAN,GLOMEL,1798.4
LA MARTYRE,BRASPARTS,1798.4
TRÉMOREL,LA TRINITÉ-PORHOËT,1798.4
SURZUR,LARRÉ,1798.4
ROZ-SUR-COUESNON,BROUALAN,1798.4
GUIPEL,SAINT-GILLES,1798.3
TRANS-LA-FORÊT,SAINT-DOMINEUC,1798.3
GUIPRY-MESSAC,GUER,1798.3
GAËL,SAINT-MALO-DE-BEIGNON,1798.3
DOURDAIN,TORCÉ,1798.3
LE QUILLIO,PONTIVY,1798.3
LIZIO,SAINT-ALLOUESTRE,1798.3
LE VIEUX-BOURG,SAINT-IGEAUX,1798.3
LA VRAIE-CROIX,SAINT-ARMEL,1798.2
PLEUBIAN,KERMARIA-SULARD,1798.2
GOULIEN,LANDUDEC,1798.2
MÉRILLAC,LOSCOUËT-SUR-MEU,1798.2
ARZAL,TREFFLÉAN,1798.2
LE CLOÎTRE-PLEYBEN,CAST,1798.2
BRÉLIDY,PLUDUAL,1798.2
PLEUMEUR-BODOU,PLUZUNET,1798.2
LE SAINT,PLOUNÉVÉZEL,1798.2
GUENGAT,LA FORÊT-FOUESNANT,1798.2
BINIC-ÉTABLES-SUR-MER,POMMERET,1798.1
PLUGUFFAN,PLOUHINEC,1798.1
SAINT-MALO-DES-TROIS-FONTAINES,GOMENÉ,1798.1
PLÉBOULLE,ANDEL,1798.1
PLÉSIDY,LE MERZER,1798.1
BREST,LAMPAUL-PLOUDALMÉZEAU,1798.1
LANRIVAIN,MOUSTÉRU,1798
SAINT-BRIAC-SUR-MER,SAINT-BENOÎT-DES-ONDES,1798
SAINT-LAURENT-SUR-OUST,PORCARO,1798
NOYAL-SOUS-BAZOUGES,SAINT-OUEN-DES-ALLEUX,1798
LA RICHARDAIS,LA LANDEC,1798
BAULON,CREVIN,1798
LOUDÉAC,MÉNÉAC,1798
SAINT-MAYEUX,KERPERT,1798
TONQUÉDEC,CAMLEZ,1797.9
PLOUVARA,PLAINTEL,1797.9
SAINT-DIDIER,CHÂTILLON-EN-VENDELAIS,1797.8
MELRAND,LANGUIDIC,1797.8
SAINT-MÉLOIR-DES-ONDES,LES CHAMPS-GÉRAUX,1797.8
GOUÉZEC,PLOGONNEC,1797.8
LANGON,SAINT-MALO-DE-PHILY,1797.8
LA TRINITÉ-PORHOËT,GUELTAS,1797.8
L'HERMITAGE,SAINT-GERMAIN-SUR-ILLE,1797.8
MINIAC-MORVAN,SAINT-JUDOCE,1797.7
PONT-CROIX,PLONÉIS,1797.7
PLÉHÉDEL,BRÉLIDY,1797.7
LAILLÉ,ERCÉ-EN-LAMÉE,1797.6
NOYAL-PONTIVY,LA MOTTE,1797.6
LIVRÉ-SUR-CHANGEON,ANDOUILLÉ-NEUVILLE,1797.6
PARCÉ,POCÉ-LES-BOIS,1797.6
LE COURS,SAINT-JEAN-BRÉVELAY,1797.6
MINIHY-TRÉGUIER,YVIAS,1797.6
MONTAUTOUR,CHAMPEAUX,1797.6
BODILIS,SAINT-FRÉGANT,1797.5
SAINT-GRAVÉ,BERRIC,1797.5
AMANLIS,MOUSSÉ,1797.5
BREST,LOC-BRÉVALAIRE,1797.5
LA DOMINELAIS,SAINT-ERBLON,1797.5
LANGROLAY-SUR-RANCE,SAINT-COULOMB,1797.4
LES PORTES DU COGLAIS,ERCÉ-PRÈS-LIFFRÉ,1797.4
LE SEL-DE-BRETAGNE,GOVEN,1797.4
LOUANNEC,PONTRIEUX,1797.4
MONTERFIL,LA CHAPELLE-BOUËXIC,1797.4
NOYAL-MUZILLAC,BOHAL,1797.3
PLEUMELEUC,MONTREUIL-LE-GAST,1797.3
PORCARO,CONCORET,1797.3
PLOUGOUMELEN,LE TOUR-DU-PARC,1797.3
LANGUÉDIAS,ÉVRAN,1797.3
MARCILLÉ-RAOUL,CHEVAIGNÉ,1797.2
TALENSAC,MINIAC-SOUS-BÉCHEREL,1797.2
BONNEMAIN,HÉDÉ-BAZOUGES,1797.2
GUÉMENÉ-SUR-SCORFF,QUISTINIC,1797.2
TRÉFLÉVÉNEZ,PLOUGOURVEST,1797.2
PLEYBER-CHRIST,GUERLESQUIN,1797.2
PLEUGRIFFET,LOUDÉAC,1797.2
CAMLEZ,BRÉLIDY,1797.2
PLÉLO,PLOUÉZEC,1797.1
MERLÉAC,PLAINE-HAUTE,1797.1
CORLAY,GRÂCE-UZEL,1797.1
PLEURTUIT,MESNIL-ROC'H,1797.1
SAINT-HERVÉ,LE HAUT-CORLAY,1797.1
VIEUX-VY-SUR-COUESNON,SOUGEAL,1797
LIFFRÉ,SAINT-RÉMY-DU-PLAIN,1797
ERCÉ-EN-LAMÉE,LAILLÉ,1797
SAINT-GILLES,GOVEN,1797
SAINT-ANDRÉ-DES-EAUX,SAINT-MAUDEZ,1797
TRÉDANIEL,PLÉMET,1796.9
SAINT-THOIS,QUÉMÉNÉVEN,1796.9
TRÉGUIDEL,COADOUT,1796.9
MALANSAC,SÉRENT,1796.9
PLUMAUDAN,SÉVIGNAC,1796.9
MÉZIÈRES-SUR-COUESNON,BAZOUGES-LA-PÉROUSE,1796.9
MOUTIERS,CHÂTEAUGIRON,1796.8
LE MOUSTOIR,CALANHEL,1796.8
GUILLIERS,COËTLOGON,1796.8
CORLAY,SAINT-CARADEC,1796.8
PLUMIEUX,RÉGUINY,1796.8
BAGUER-MORVAN,BROUALAN,1796.7
GUIPAVAS,KERNILIS,1796.7
CESSON-SÉVIGNÉ,GUIPEL,1796.7
LANVELLEC,MORLAIX,1796.7
SAINT-SAMSON-SUR-RANCE,LA FRESNAIS,1796.6
TRÉVÉREC,MANTALLOT,1796.6
SAINT-GONLAY,PARTHENAY-DE-BRETAGNE,1796.6
SAINTE-MARIE,THÉHILLAC,1796.6
SAINT-MALON-SUR-MEL,ROMILLÉ,1796.6
SAINT-GONNERY,ALLINEUC,1796.6
SAINT-CARREUC,POMMERET,1796.6
PLÉNÉE-JUGON,SAINT-MÉLOIR-DES-BOIS,1796.5
LE JUCH,TRÉOGAT,1796.5
TREFFRIN,COLLOREC,1796.5
SÉVIGNAC,PLUMAUDAN,1796.5
GOULVEN,LA FOREST-LANDERNEAU,1796.4
MONTAUBAN-DE-BRETAGNE,CONCORET,1796.4
LA RICHARDAIS,SAINT-CARNÉ,1796.4
PLOUGONVEN,BERRIEN,1796.4
BÉCHEREL,BRUSVILY,1796.4
LOSCOUËT-SUR-MEU,LA NOUAYE,1796.4
SAINT-MALON-SUR-MEL,SAINT-GILLES,1796.4
AVAILLES-SUR-SEICHE,MONTREUIL-SOUS-PÉROUSE,1796.3
CHARTRES-DE-BRETAGNE,MONTFORT-SUR-MEU,1796.3
VILLAMÉE,VAL-COUESNON,1796.2
SAINT-MADEN,PLESDER,1796.1
GOULVEN,BOURG-BLANC,1796.1
GÂVRES,CAUDAN,1796.1
TRÉGLAMUS,TRÉVÉREC,1796.1
LOSCOUËT-SUR-MEU,MÉRILLAC,1796.1
PLÉBOULLE,LAMBALLE-ARMOR,1796
KERBORS,PLOUÉZEC,1796
COAT-MÉAL,TRÉBABU,1796
VERGÉAL,JANZÉ,1796
PEILLAC,COMBLESSAC,1796
SAINT-CAST-LE-GUILDO,AUCALEUC,1795.9
BRUZ,MAXENT,1795.8
PLOUBAZLANEC,COATRÉVEN,1795.8
SERVON-SUR-VILAINE,MONTREUIL-SOUS-PÉROUSE,1795.8
LANNION,KERMOROC'H,1795.8
LÉZARDRIEUX,GOUDELIN,1795.8
PLEUMEUR-BODOU,BERHET,1795.8
SAINT-AUBIN-DES-LANDES,NOUVOITOU,1795.7
COADOUT,LOC-ENVEL,1795.6
COURNON,SAINT-GANTON,1795.6
MONTREUIL-SOUS-PÉROUSE,BRÉCÉ,1795.6
TRÉGUNC,TOURCH,1795.6
PAULE,SAINT-NICODÈME,1795.6
GOMMENEC'H,TROGUÉRY,1795.5
BRÉHAN,HELLÉAN,1795.5
SAINT-HÉLEN,BEAUSSAIS-SUR-MER,1795.4
LE TIERCENT,LE FERRÉ,1795.4
SAINTE-ANNE-D'AURAY,HENNEBONT,1795.4
SAINT-GILDAS-DE-RHUYS,AMBON,1795.4
LAMPAUL-GUIMILIAU,PLOUNÉVEZ-LOCHRIST,1795.3
SAINT-PÉRAN,PLEUMELEUC,1795.3
TALENSAC,BOVEL,1795.3
VAL-COUESNON,GOSNÉ,1795.3
PLUDUNO,TRAMAIN,1795.3
LA SELLE-EN-LUITRÉ,LE FERRÉ,1795.3
PLAINE-HAUTE,LANRODEC,1795.3
SAINT-FIACRE,MAGOAR,1795.3
SAINT-IGEAUX,LE VIEUX-BOURG,1795.2
PLOUÉZEC,KERBORS,1795.2
LE FERRÉ,LE TIERCENT,1795.2
LA FOREST-LANDERNEAU,PLOUGAR,1795.1
PLOEREN,AMBON,1795.1
ÉVELLYS,CLÉGUÉREC,1795.1
LA CHAPELLE-THOUARAULT,VIGNOC,1795.1
GAHARD,SAINT-SAUVEUR-DES-LANDES,1795.1
SAINT-BRANDAN,SAINT-JEAN-KERDANIEL,1795
NEULLIAC,BON REPOS SUR BLAVET,1795
CLAYES,GUIPEL,1795
SAINT-FRÉGANT,MILIZAC-GUIPRONVEL,1795
CHEVAIGNÉ,DINGÉ,1794.9
ARZANO,LE SAINT,1794.9
TONQUÉDEC,SAINT-MICHEL-EN-GRÈVE,1794.9
SAINT-THURIEN,QUÉVEN,1794.9
RUCA,BEAUSSAIS-SUR-MER,1794.9
LANNÉANOU,CALANHEL,1794.8
MOËLAN-SUR-MER,QUERRIEN,1794.8
SAINT-OUEN-DES-ALLEUX,LE CHÂTELLIER,1794.8
PLÉSIDY,SAINT-NICOLAS-DU-PÉLEM,1794.8
MOUAZÉ,MARCILLÉ-RAOUL,1794.8
COMBLESSAC,PEILLAC,1794.7
SAINT-MAUDEZ,MATIGNON,1794.7
MOUSSÉ,AMANLIS,1794.7
PLOUISY,SAINT-FIACRE,1794.7
PENCRAN,LANHOUARNEAU,1794.6
GUELTAS,LA TRINITÉ-PORHOËT,1794.6
SAINT-SERVANT,BRÉHAN,1794.6
LOCMALO,GUERLÉDAN,1794.6
SAINT-BRIEUC,BOQUEHO,1794.6
LAMBALLE-ARMOR,HÉNON,1794.5
PLOGOFF,MAHALON,1794.5
SAINT-JOUAN-DE-L'ISLE,VILDÉ-GUINGALAN,1794.5
SAINT-JOUAN-DE-L'ISLE,SAINT-THUAL,1794.5
LE LOROUX,POILLEY,1794.5
GUER,SAINT-ABRAHAM,1794.5
BOVEL,SAINT-SENOUX,1794.5
PLONÉIS,PONT-CROIX,1794.4
PLOUGOUMELEN,SULNIAC,1794.4
SAINT-MALO,DINAN,1794.4
CLÉGUER,RIANTEC,1794.4
TRÉGOUREZ,PONT-AVEN,1794.4
PLUMÉLIAU-BIEUZY,MOUSTOIR-AC,1794.4
BRUZ,MONTFORT-SUR-MEU,1794.3
PLOËZAL,GRÂCES,1794.3
LE FAOUËT,SAINT-THURIEN,1794.3
LE FAOUËT,SAINT-THURIEN,1794.3
CONFORT-MEILARS,PLUGUFFAN,1794.3
LANGUIDIC,MELRAND,1794.2
PLUHERLIN,SAINT-PERREUX,1794.2
PLOUIGNEAU,PLOUGONVER,1794.2
SPÉZET,GOUÉZEC,1794.2
CALORGUEN,SAINT-MÉLOIR-DES-BOIS,1794.1
PLEUGUENEUC,BOBITAL,1794.1
LA MÉAUGON,PLOUHA,1794.1
INGUINIEL,LOCUNOLÉ,1794.1
SAINT-DOLAY,MALANSAC,1794
PLÉNEUF-VAL-ANDRÉ,QUESSOY,1794
MONTAUTOUR,TORCÉ,1794
BOURG-BLANC,GOULVEN,1794
PLOURAC'H,PLOUYÉ,1794
LA ROCHE-MAURICE,LOGONNA-DAOULAS,1793.9
SAINT-JULIEN,PLÉLO,1793.9
LANRIGAN,SAINT-THUAL,1793.9
PERSQUEN,QUISTINIC,1793.9
TRESSIGNAUX,TRÉGLAMUS,1793.9
L'HERMITAGE,SAINT-GONLAY,1793.9
LE PETIT-FOUGERAY,RENNES,1793.8
PLERGUER,QUÉBRIAC,1793.8
VEZIN-LE-COQUET,CHASNÉ-SUR-ILLET,1793.8
PENCRAN,ROSNOËN,1793.8
SAINT-BENOÎT-DES-ONDES,EPINIAC,1793.8
TRÉDARZEC,PLUDUAL,1793.8
PLOUZÉVÉDÉ,LANDERNEAU,1793.8
MILIZAC-GUIPRONVEL,SAINT-FRÉGANT,1793.8
LANNEBERT,COATASCORN,1793.7
SAINT-TRIMOËL,TRÉGUEUX,1793.7
PLOUNÉVEZ-MOËDEC,LANDEBAËRON,1793.7
VISSEICHE,LALLEU,1793.6
LAURENAN,BRIGNAC,1793.6
LANARVILY,DIRINON,1793.6
YVIAS,MINIHY-TRÉGUIER,1793.6
LOCTUDY,PLOGASTEL-SAINT-GERMAIN,1793.6
LANTILLAC,LOCQUELTAS,1793.6
KERLOUAN,PLOUÉDERN,1793.6
PLÉNEUF-VAL-ANDRÉ,BRÉHAND,1793.5
LA SELLE-EN-LUITRÉ,MELLÉ,1793.5
BERNÉ,RÉDENÉ,1793.5
POCÉ-LES-BOIS,CHÂTEAUGIRON,1793.5
LES FOUGERÊTS,BOHAL,1793.5
TREFFENDEL,CLAYES,1793.5
PLUDUNO,BRUSVILY,1793.4
MALANSAC,SAINT-DOLAY,1793.4
GUIGNEN,TREFFENDEL,1793.4
PLOUARET,LOUARGAT,1793.4
EDERN,SCAËR,1793.4
SIZUN,PLOUGAR,1793.4
PLOUGUERNEAU,GOUESNOU,1793.4
LANDUDEC,LANDRÉVARZEC,1793.4
LANDRÉVARZEC,CLOHARS-FOUESNANT,1793.3
LANRELAS,PLÉNÉE-JUGON,1793.3
LA CHAPELLE-BLANCHE,IFFENDIC,1793.3
PLOUËR-SUR-RANCE,SAINT-JUVAT,1793.3
GLOMEL,LANGOËLAN,1793.2
PLOEMEUR,LE TRÉVOUX,1793.2
COMBLESSAC,SAINT-VINCENT-SUR-OUST,1793.2
VILDÉ-GUINGALAN,SÉVIGNAC,1793.2
TINTÉNIAC,SAINT-LÉGER-DES-PRÉS,1793.2
CLÉDER,LOC-EGUINER,1793.2
BOHAL,NOYAL-MUZILLAC,1793.2
LARMOR-BADEN,LOCQUELTAS,1793.2
PLONÉIS,CONCARNEAU,1793.1
SAINT-THURIAL,CLAYES,1793.1
MARCILLÉ-RAOUL,MOUAZÉ,1793.1
PLUMELIN,QUISTINIC,1793.1
TRESBUF,VISSEICHE,1793.1
LIMERZEL,SAINT-GUYOMARD,1793.1
CALANHEL,LANNÉANOU,1793.1
LÉZARDRIEUX,CAMLEZ,1793.1
CAMLEZ,SAINT-CLET,1793.1
SAINT-GANTON,LA CHAPELLE-BOUËXIC,1793
PLUMELEC,GUILLAC,1793
MORLAIX,LANVELLEC,1793
ILLIFAUT,LA CHAPELLE-BLANCHE,1793
KERLOUAN,SAINT-THONAN,1793
PLOUVARA,POMMERIT-LE-VICOMTE,1793
CALORGUEN,PLÉLAN-LE-PETIT,1792.9
ARGENTRÉ-DU-PLESSIS,MOUSSÉ,1792.9
MARCILLÉ-RAOUL,TINTÉNIAC,1792.9
NOUVOITOU,LAILLÉ,1792.9
LA NOUAYE,GUITTÉ,1792.9
PLEYBER-CHRIST,LANNÉANOU,1792.9
PLOUARET,PLOUGRAS,1792.9
SAINT-FRÉGANT,LANNEUFFRET,1792.9
SAINT-LÉGER-DES-PRÉS,TINTÉNIAC,1792.9
PLUMELIN,MEUCON,1792.8
QUERRIEN,RIEC-SUR-BÉLON,1792.8
PLOURHAN,SAINT-DONAN,1792.8
HELLÉAN,BRIGNAC,1792.8
LOCUNOLÉ,INGUINIEL,1792.8
LE HÉZO,GRAND-CHAMP,1792.8
LANLEFF,PORDIC,1792.7
PLOUYÉ,PLOURAC'H,1792.7
LA TRINITÉ-PORHOËT,LANTILLAC,1792.7
SAINT-BIHY,TRÉMUSON,1792.6
LANNÉANOU,PLESTIN-LES-GRÈVES,1792.6
SÉRENT,MALANSAC,1792.6
LANDELEAU,PLÉVIN,1792.6
BAZOUGES-LA-PÉROUSE,MÉZIÈRES-SUR-COUESNON,1792.5
CANIHUEL,ROSTRENEN,1792.5
PLEYBER-CHRIST,LOCQUIREC,1792.5
MAGOAR,SAINTE-TRÉPHINE,1792.4
SENVEN-LÉHART,LE MERZER,1792.4
TRÉBRY,PLÉMET,1792.4
ÉTEL,PLUMERGAT,1792.4
PLUMAUDAN,SAINT-MÉLOIR-DES-BOIS,1792.3
TINTÉNIAC,MARCILLÉ-RAOUL,1792.3
LOCMALO,PLUMÉLIAU-BIEUZY,1792.3
SAINT-SYMPHORIEN,CHASNÉ-SUR-ILLET,1792.2
LA PRÉNESSAYE,CRÉDIN,1792.2
PANCÉ,RETIERS,1792.2
BUBRY,LANGUIDIC,1792.2
ROSNOËN,PENCRAN,1792.2
BEIGNON,MUEL,1792.2
GUIMILIAU,SAINT-POL-DE-LÉON,1792.2
CLAYES,CHEVAIGNÉ,1792.2
LE HÉZO,AURAY,1792.2
PLEUVEN,PLOGASTEL-SAINT-GERMAIN,1792.2
SAINT-UNIAC,LA CHAPELLE-CHAUSSÉE,1792.2
PLAINTEL,PLOUVARA,1792.1
PLOUÉZEC,PLOUËC-DU-TRIEUX,1792.1
SAINT-DOMINEUC,LE HINGLÉ,1792.1
MILIZAC-GUIPRONVEL,PLOUDANIEL,1792.1
INZINZAC-LOCHRIST,LOCOAL-MENDON,1792.1
LE HAUT-CORLAY,SAINT-HERVÉ,1792.1
SAINT-SENOUX,VERN-SUR-SEICHE,1792
BOQUEHO,LE BODÉO,1792
LANARVILY,PLOUDALMÉZEAU,1792
CHÂTEAUBOURG,SAINT-GERMAIN-DU-PINEL,1792
TRÉGLONOU,GUIPAVAS,1792
LOCRONAN,PLOZÉVET,1791.9
SAINT-SULPICE-LA-FORÊT,SAINT-CHRISTOPHE-DE-VALAINS,1791.9
BERRIC,FÉREL,1791.9
GUILLAC,ELVEN,1791.9
LA CHAPELLE-DES-FOUGERETZ,MINIAC-SOUS-BÉCHEREL,1791.9
SAINT-NOLFF,SAINTE-ANNE-D'AURAY,1791.9
LOUDÉAC,RÉGUINY,1791.9
ROSPORDEN,PLEUVEN,1791.9
COHINIAC,YFFINIAC,1791.8
CREVIN,BAULON,1791.8
LANDÉDA,PLOUIDER,1791.8
VAL D'OUST,LANTILLAC,1791.8
LUITRÉ-DOMPIERRE,LA CHAPELLE-ERBRÉE,1791.7
QUINTIN,SAINT-IGEAUX,1791.7
POCÉ-LES-BOIS,ACIGNÉ,1791.7
RÉGUINY,SAINT-SERVANT,1791.7
GUIGNEN,L'HERMITAGE,1791.6
LA CHAPELLE-BOUËXIC,MONTERFIL,1791.6
BOISGERVILLY,PARTHENAY-DE-BRETAGNE,1791.5
YVIAS,SAINT-LAURENT,1791.5
BAGUER-PICAN,LA VICOMTÉ-SUR-RANCE,1791.5
CANIHUEL,UZEL,1791.5
LA CHAPELLE-BOUËXIC,RENAC,1791.5
CAMLEZ,TONQUÉDEC,1791.5
PLESTIN-LES-GRÈVES,LANNÉANOU,1791.5
CUGUEN,SAINT-BRIEUC-DES-IFFS,1791.4
PLOUASNE,LA CHAPELLE-AUX-FILTZMÉENS,1791.4
TRÉBRY,ANDEL,1791.4
SAINTE-ANNE-D'AURAY,PLAUDREN,1791.4
BERRIEN,PLOURAC'H,1791.4
MONTERTELOT,RADENAC,1791.4
SAINT-ADRIEN,TRÉGOMEUR,1791.4
LE HAUT-CORLAY,SAINT-PÉVER,1791.4
ROCHEFORT-EN-TERRE,SAINT-ABRAHAM,1791.3
SAINT-THURIAU,LANGUIDIC,1791.3
CLÉDEN-POHER,LA FEUILLÉE,1791.3
SAINT-JACUT-DE-LA-MER,SAINT-MÉLOIR-DES-ONDES,1791.3
ROSCOFF,BODILIS,1791.3
ORGÈRES,THORIGNÉ-FOUILLARD,1791.3
JANZÉ,VERGÉAL,1791.3
PLOUMILLIAU,TRÉGROM,1791.2
LA CHAPELLE-ERBRÉE,LUITRÉ-DOMPIERRE,1791.2
SAINT-GILLES-VIEUX-MARCHÉ,PLOUGUERNÉVEL,1791.2
BRÉAL-SOUS-VITRÉ,VISSEICHE,1791.2
ARGOL,LOCRONAN,1791.2
MOUAZÉ,DOURDAIN,1791.2
PLOUGAR,SIZUN,1791.2
GOUESNOU,KERNOUËS,1791.1
SAINT-VINCENT-SUR-OUST,COMBLESSAC,1791.1
CARANTEC,PLOUÉGAT-MOYSAN,1791.1
MONTENEUF,LOHÉAC,1791.1
BOURSEUL,PLÉNÉE-JUGON,1791.1
TRÉMÉREUC,MATIGNON,1791.1
MALGUÉNAC,QUISTINIC,1791
MAEN ROCH,LIVRÉ-SUR-CHANGEON,1791
SAINT-JEAN-BRÉVELAY,CRÉDIN,1791
TRÉDUDER,TRÉGROM,1790.9
LA ROCHE-MAURICE,HÔPITAL-CAMFROUT,1790.9
AMBON,SAINT-GILDAS-DE-RHUYS,1790.9
TRESBUF,DROUGES,1790.9
CALAN,LOCUNOLÉ,1790.9
RADENAC,TAUPONT,1790.9
PLÉLO,SAINT-JULIEN,1790.9
ACIGNÉ,POCÉ-LES-BOIS,1790.9
VIEUX-VY-SUR-COUESNON,ACIGNÉ,1790.8
SAINT-MÉEN,GUIMILIAU,1790.8
SAINT-DIDIER,CORPS-NUDS,1790.7
LOCTUDY,QUIMPER,1790.7
PLÉVEN,BEAUSSAIS-SUR-MER,1790.7
SAINT-MÉLOIR-DES-BOIS,QUINTENIC,1790.7
ANDEL,HÉNON,1790.7
SAINT-DENOUAL,AUCALEUC,1790.6
LA TRINITÉ-SURZUR,NIVILLAC,1790.6
TRÉGUIDEL,PLOUISY,1790.6
LOC-EGUINER,CLÉDER,1790.6
QUISTINIC,PERSQUEN,1790.6
POLIGNÉ,PIRÉ-CHANCÉ,1790.6
PLOUGRESCANT,PLOURIVO,1790.5
LOUVIGNÉ-DE-BAIS,DOURDAIN,1790.5
PLOUËC-DU-TRIEUX,PLOUÉZEC,1790.5
SURZUR,LOCMARIA-GRAND-CHAMP,1790.5
LANDÉHEN,TRÉMEUR,1790.4
RENNES,CINTRÉ,1790.4
BOISTRUDAN,CHANTELOUP,1790.4
COMMANA,PLEYBEN,1790.4
TRÉMÉOC,SAINT-ÉVARZEC,1790.4
VANNES,BIGNAN,1790.4
VANNES,QUESTEMBERT,1790.4
MONTAUBAN-DE-BRETAGNE,SAINT-GONDRAN,1790.3
SAINTE-SÈVE,LE CLOÎTRE-SAINT-THÉGONNEC,1790.3
LE SEL-DE-BRETAGNE,SAINT-SULPICE-DES-LANDES,1790.2
SAINT-LAURENT,YVIAS,1790.2
BUBRY,PONTIVY,1790.2
SAINT-LAURENT-SUR-OUST,GUER,1790.2
PLOUYÉ,CHÂTEAUNEUF-DU-FAOU,1790.2
SAINT-JOUAN-DE-L'ISLE,PLÉLAN-LE-PETIT,1790.2
PLAINE-HAUTE,TRESSIGNAUX,1790.2
TRÉGONNEAU,PLÉLO,1790.2
SAINT-FRÉGANT,TRÉFLAOUÉNAN,1790.2
SAINT-CARREUC,SAINT-BIHY,1790.2
GUILERS,LE DRENNEC,1790.1
TRÉFLEZ,LANNILIS,1790.1
VAL D'OUST,QUESTEMBERT,1790.1
KERPERT,SAINTE-TRÉPHINE,1790
BRIGNAC,HELLÉAN,1790
PLOUVORN,LANMEUR,1790
SAINT-DIDIER,LA CHAPELLE-ERBRÉE,1789.9
LA COUYÈRE,PONT-PÉAN,1789.9
PARTHENAY-DE-BRETAGNE,TRIMER,1789.9
PONT-MELVEZ,MAGOAR,1789.9
PLEYBER-CHRIST,SIBIRIL,1789.8
SAINT-ALBAN,SAINT-RIEUL,1789.8
PLOUNÉVÉZEL,LE SAINT,1789.8
